Product,State,n_months,prophet_mse,prophet_rmse,prophet_mae,prophet_mape,sarima_mse,sarima_rmse,sarima_mae,sarima_mape,chosen_model,notes
CREDIT CARD OR PREPAID CARD,CA,34,,,,,91.42048985596149,9.561406269789057,8.41611450307857,0.11889886173573043,SARIMA,
CREDIT CARD OR PREPAID CARD,CO,34,,,,,,,,,FAILED,
CREDIT CARD OR PREPAID CARD,FL,34,,,,,340.3344876726708,18.448156755423312,15.624339749107861,0.3231479338208903,SARIMA,
CREDIT CARD OR PREPAID CARD,GA,34,,,,,173.85082524536267,13.185250291343076,12.88550642326796,0.5312091009001726,SARIMA,
CREDIT CARD OR PREPAID CARD,IL,34,,,,,5.166241496598642,2.272936755961028,1.6071428571428577,0.10833468002585654,SARIMA,
CREDIT CARD OR PREPAID CARD,MA,34,,,,,24.25022504747751,4.924451750954365,4.189407718936091,0.6143714828586048,SARIMA,
CREDIT CARD OR PREPAID CARD,MD,34,,,,,27.065881438927402,5.202488004688468,4.5620928096653905,0.3035243201038435,SARIMA,
CREDIT CARD OR PREPAID CARD,MI,34,,,,,24.210987360069172,4.920466173043889,3.203996334403024,0.23348625641255547,SARIMA,
CREDIT CARD OR PREPAID CARD,NC,34,,,,,41.471987749952554,6.439874824090337,5.8807396525491304,0.33870850672293545,SARIMA,
CREDIT CARD OR PREPAID CARD,NJ,34,,,,,43.0,6.557438524302,5.666666666666667,0.3784292225662194,SARIMA,
CREDIT CARD OR PREPAID CARD,NV,34,,,,,38.08863176409966,6.171598801291255,5.088029331303945,0.5033554716278981,SARIMA,
CREDIT CARD OR PREPAID CARD,NY,34,,,,,58.20808242499109,7.629422155379206,6.062830704001098,0.16546907180091175,SARIMA,
CREDIT CARD OR PREPAID CARD,OH,34,,,,,35.333333333333336,5.94418483337567,5.0,0.3351851851851852,SARIMA,
CREDIT CARD OR PREPAID CARD,PA,34,,,,,301.31972789115645,17.35856353190426,13.142857142857144,0.3921550460924275,SARIMA,
CREDIT CARD OR PREPAID CARD,TX,34,,,,,469.1666666666667,21.660255461712975,18.833333333333332,0.35333393680875286,SARIMA,
CREDIT CARD OR PREPAID CARD,VA,34,,,,,59.36007315398417,7.704548861158853,6.131403103942581,0.4056453591354388,SARIMA,
CREDIT CARD OR PREPAID CARD,WA,34,,,,,,,,,FAILED,
"CREDIT REPORTING, CREDIT REPAIR SERVICES, OR OTHER PERSONAL CONSUMER REPORTS",AL,34,,,,,215.789053546558,14.689760159599544,10.166666666666666,0.15968118121314842,SARIMA,
"CREDIT REPORTING, CREDIT REPAIR SERVICES, OR OTHER PERSONAL CONSUMER REPORTS",AR,34,,,,,328.2083333333333,18.11652100524086,16.083333333333332,0.3729281989475632,SARIMA,
"CREDIT REPORTING, CREDIT REPAIR SERVICES, OR OTHER PERSONAL CONSUMER REPORTS",AZ,34,,,,,250.53297956656525,15.82823362117723,12.914028920659169,0.18574867837889394,SARIMA,
"CREDIT REPORTING, CREDIT REPAIR SERVICES, OR OTHER PERSONAL CONSUMER REPORTS",CA,34,,,,,,,,,FAILED,
"CREDIT REPORTING, CREDIT REPAIR SERVICES, OR OTHER PERSONAL CONSUMER REPORTS",CO,34,,,,,,,,,FAILED,
"CREDIT REPORTING, CREDIT REPAIR SERVICES, OR OTHER PERSONAL CONSUMER REPORTS",CT,34,,,,,121.16666666666667,11.007573150638912,8.166666666666666,0.20131261010517976,SARIMA,
